E/N (Td)          Energy (eV)       Temp (K)          Mobility ()         Diffusion ()        Ionization Rate ()  
1.221e+03         1.862e+01         1.441e+05         2.424e-02         3.139e-01         1.365e-14
1.225e+03         1.868e+01         1.445e+05         2.421e-02         3.145e-01         1.375e-14
1.230e+03         1.874e+01         1.449e+05         2.418e-02         3.151e-01         1.384e-14
1.235e+03         1.879e+01         1.454e+05         2.415e-02         3.157e-01         1.394e-14
1.240e+03         1.885e+01         1.458e+05         2.412e-02         3.163e-01         1.404e-14
1.244e+03         1.891e+01         1.463e+05         2.409e-02         3.168e-01         1.413e-14
1.249e+03         1.897e+01         1.467e+05         2.406e-02         3.174e-01         1.423e-14
1.254e+03         1.902e+01         1.472e+05         2.404e-02         3.180e-01         1.433e-14
1.259e+03         1.908e+01         1.476e+05         2.401e-02         3.186e-01         1.442e-14
1.263e+03         1.914e+01         1.481e+05         2.398e-02         3.192e-01         1.452e-14
1.268e+03         1.920e+01         1.485e+05         2.395e-02         3.198e-01         1.462e-14
1.273e+03         1.925e+01         1.489e+05         2.392e-02         3.204e-01         1.472e-14
1.277e+03         1.931e+01         1.494e+05         2.390e-02         3.210e-01         1.481e-14
1.282e+03         1.937e+01         1.498e+05         2.387e-02         3.216e-01         1.491e-14
1.287e+03         1.942e+01         1.503e+05         2.384e-02         3.221e-01         1.501e-14
1.292e+03         1.948e+01         1.507e+05         2.381e-02         3.227e-01         1.511e-14
1.296e+03         1.954e+01         1.512e+05         2.379e-02         3.233e-01         1.520e-14
1.301e+03         1.960e+01         1.516e+05         2.376e-02         3.239e-01         1.530e-14
1.306e+03         1.965e+01         1.520e+05         2.373e-02         3.245e-01         1.540e-14
1.311e+03         1.971e+01         1.525e+05         2.371e-02         3.251e-01         1.550e-14
1.315e+03         1.977e+01         1.529e+05         2.368e-02         3.256e-01         1.560e-14
1.320e+03         1.982e+01         1.534e+05         2.366e-02         3.262e-01         1.570e-14
1.325e+03         1.988e+01         1.538e+05         2.363e-02         3.268e-01         1.579e-14
1.330e+03         1.994e+01         1.542e+05         2.360e-02         3.274e-01         1.589e-14
1.334e+03         2.000e+01         1.547e+05         2.358e-02         3.280e-01         1.599e-14
1.339e+03         2.005e+01         1.551e+05         2.355e-02         3.285e-01         1.609e-14
1.344e+03         2.011e+01         1.556e+05         2.353e-02         3.291e-01         1.619e-14
1.348e+03         2.017e+01         1.560e+05         2.350e-02         3.297e-01         1.629e-14
1.353e+03         2.022e+01         1.564e+05         2.347e-02         3.303e-01         1.639e-14
1.358e+03         2.028e+01         1.569e+05         2.345e-02         3.309e-01         1.649e-14
1.363e+03         2.034e+01         1.573e+05         2.342e-02         3.314e-01         1.659e-14
1.367e+03         2.039e+01         1.578e+05         2.340e-02         3.320e-01         1.669e-14
1.372e+03         2.045e+01         1.582e+05         2.337e-02         3.326e-01         1.679e-14
1.377e+03         2.051e+01         1.586e+05         2.335e-02         3.332e-01         1.689e-14
1.382e+03         2.056e+01         1.591e+05         2.332e-02         3.338e-01         1.699e-14
1.386e+03         2.062e+01         1.595e+05         2.330e-02         3.343e-01         1.709e-14
1.391e+03         2.068e+01         1.600e+05         2.327e-02         3.349e-01         1.719e-14
1.396e+03         2.073e+01         1.604e+05         2.325e-02         3.355e-01         1.729e-14
1.401e+03         2.079e+01         1.608e+05         2.323e-02         3.361e-01         1.739e-14
1.405e+03         2.085e+01         1.613e+05         2.320e-02         3.367e-01         1.749e-14
1.410e+03         2.090e+01         1.617e+05         2.318e-02         3.373e-01         1.759e-14
1.415e+03         2.096e+01         1.621e+05         2.315e-02         3.379e-01         1.769e-14
1.419e+03         2.101e+01         1.626e+05         2.313e-02         3.385e-01         1.779e-14
1.424e+03         2.107e+01         1.630e+05         2.311e-02         3.391e-01         1.789e-14
1.429e+03         2.113e+01         1.634e+05         2.308e-02         3.397e-01         1.799e-14
1.434e+03         2.118e+01         1.639e+05         2.306e-02         3.402e-01         1.809e-14
1.438e+03         2.124e+01         1.643e+05         2.303e-02         3.408e-01         1.819e-14
1.443e+03         2.130e+01         1.647e+05         2.301e-02         3.414e-01         1.829e-14
1.448e+03         2.135e+01         1.652e+05         2.299e-02         3.420e-01         1.839e-14
1.453e+03         2.141e+01         1.656e+05         2.296e-02         3.426e-01         1.849e-14
1.457e+03         2.146e+01         1.660e+05         2.294e-02         3.431e-01         1.859e-14
1.462e+03         2.152e+01         1.665e+05         2.292e-02         3.437e-01         1.870e-14
1.467e+03         2.158e+01         1.669e+05         2.290e-02         3.443e-01         1.880e-14
1.471e+03         2.163e+01         1.673e+05         2.287e-02         3.449e-01         1.890e-14
1.476e+03         2.169e+01         1.678e+05         2.285e-02         3.455e-01         1.900e-14
1.481e+03         2.174e+01         1.682e+05         2.283e-02         3.461e-01         1.910e-14
1.486e+03         2.180e+01         1.686e+05         2.281e-02         3.466e-01         1.920e-14
1.490e+03         2.185e+01         1.691e+05         2.278e-02         3.472e-01         1.930e-14
1.495e+03         2.191e+01         1.695e+05         2.276e-02         3.478e-01         1.941e-14
1.500e+03         2.197e+01         1.699e+05         2.274e-02         3.484e-01         1.951e-14
1.505e+03         2.202e+01         1.704e+05         2.271e-02         3.490e-01         1.961e-14
1.509e+03         2.208e+01         1.708e+05         2.269e-02         3.496e-01         1.971e-14
